Human	Chimpanzee	Gorilla	Orangutan	Macaque	Mouse	Opossum	Platypus	Chicken
ENSG00000117036:6328	ENSPTRG00000001486:1622	ENSGGOG00000009231:2001	ENSPPYG00000000693:1539	ENSMMUG00000008999:1533	ENSMUSG00000003382:7004	ENSMODG00000016664:1137	ENSOANG00000014553:318	ENSGALG00000000669:1335
ENSG00000138750:2486	ENSPTRG00000016185:2356	ENSGGOG00000008376:2365	ENSPPYG00000014858:1527	ENSMMUG00000020910:2349	ENSMUSG00000034826:2619	ENSMODG00000019296:1545	ENSOANG00000006927:1519	ENSGALG00000011506:1852
ENSG00000157426:3579	ENSPTRG00000016079:3168	ENSGGOG00000023372:3165	ENSPPYG00000014755:3300	ENSMMUG00000016360:3063	ENSMUSG00000055923:3870	ENSMODG00000020692:3480	ENSOANG00000007831:3077	ENSGALG00000013764:3322
ENSG00000132437:2742	ENSPTRG00000019189:2047	ENSGGOG00000006304:1953	ENSPPYG00000017558:1440	ENSMMUG00000019991:1989	ENSMUSG00000020182:2067	ENSMODG00000009255:1481	ENSOANG00000000284:1844	ENSGALG00000013094:1801
ENSG00000035687:3050	ENSPTRG00000002178:1379	ENSGGOG00000011109:2284	ENSPPYG00000000057:1371	ENSMMUG00000000016:2570	ENSMUSG00000015961:2553	ENSMODG00000006559:1390	ENSOANG00000010254:2063	ENSGALG00000010702:2002
ENSG00000179776:4125	ENSPTRG00000008190:4083	ENSGGOG00000005712:4125	ENSPPYG00000007416:2346	ENSMMUG00000023525:4031	ENSMUSG00000031871:3911	ENSMODG00000006956:2440	ENSOANG00000006521:750	ENSGALG00000005272:4534
ENSG00000175895:2880	ENSPTRG00000020436:2886	ENSGGOG00000022351:1438	ENSPPYG00000018760:750	ENSMMUG00000014183:2877	ENSMUSG00000049969:3039	ENSMODG00000024548:747	ENSOANG00000013068:750	ENSGALG00000015988:2393
ENSG00000135525:4246	ENSPTRG00000018636:3688	ENSGGOG00000000974:3800	ENSPPYG00000017033:3759	ENSMMUG00000016373:2241	ENSMUSG00000019996:2319	ENSMODG00000017442:2188	ENSOANG00000009448:2052	ENSGALG00000013900:4089
ENSG00000154124:7896	ENSPTRG00000016738:1466	ENSGGOG00000015318:7898	ENSPPYG00000015352:1059	ENSMMUG00000021939:1487	ENSMUSG00000046034:1489	ENSMODG00000002941:906	ENSOANG00000011614:647	ENSGALG00000019543:1257
ENSG00000115841:5379	ENSPTRG00000011842:2718	ENSGGOG00000010617:1062	ENSPPYG00000012486:1740	ENSMMUG00000013944:3285	ENSMUSG00000036368:2769	ENSMODG00000008468:1038	ENSOANG00000004754:1058	ENSGALG00000010554:1412
ENSG00000138231:2666	ENSPTRG00000015441:2653	ENSGGOG00000004564:1641	ENSPPYG00000014139:1644	ENSMMUG00000021284:1635	ENSMUSG00000032469:2450	ENSMODG00000018554:1645	ENSOANG00000007783:1470	ENSGALG00000001190:2746
ENSG00000139832:1514	ENSPTRG00000031118:1509	ENSGGOG00000012600:1511	ENSPPYG00000005500:705	ENSMMUG00000022284:1513	ENSMUSG00000031504:1446	ENSMODG00000004562:693	ENSOANG00000015621:624	ENSGALG00000016844:868
ENSG00000184956:8003	ENSPTRG00000003145:6527	ENSGGOG00000000463:7154	ENSPPYG00000002894:5253	ENSMMUG00000012779:4701	ENSMUSG00000048191:8635	ENSMODG00000018618:2226	ENSOANG00000020666:1734	ENSGALG00000020492:3555
ENSG00000124145:2613	ENSPTRG00000013543:2604	ENSGGOG00000004153:2617	ENSPPYG00000011054:2572	ENSMMUG00000003406:2635	ENSMUSG00000017009:2458	ENSMODG00000016186:692	ENSOANG00000010559:730	ENSGALG00000003932:867
ENSG00000165650:6484	ENSPTRG00000002980:3835	ENSGGOG00000002530:3835	ENSPPYG00000002691:3465	ENSMMUG00000014819:2958	ENSMUSG00000074746:4732	ENSMODG00000009394:3285	ENSOANG00000014131:2649	ENSGALG00000009295:3420
ENSG00000005206:2891	ENSPTRG00000010234:1115	ENSGGOG00000010177:2575	ENSPPYG00000009349:3118	ENSMMUG00000000453:1863	ENSMUSG00000035206:2816	ENSMODG00000004756:1725	ENSOANG00000009197:2078	ENSGALG00000000430:5468
ENSG00000164168:2971	ENSPTRG00000016495:1317	ENSGGOG00000013660:2168	ENSPPYG00000015110:1317	ENSMMUG00000004977:1994	ENSMUSG00000031617:2723	ENSMODG00000000670:1308	ENSOANG00000005263:1299	ENSGALG00000010019:3098
ENSG00000163380:4300	ENSPTRG00000015097:1857	ENSGGOG00000015200:3497	ENSPPYG00000013727:1662	ENSMMUG00000008628:4077	ENSMUSG00000044086:2242	ENSMODG00000003639:1659	ENSOANG00000000487:1698	ENSGALG00000018946:2271
ENSG00000161013:3862	ENSPTRG00000017625:2934	ENSGGOG00000024066:1719	ENSPPYG00000016129:912	ENSMMUG00000012374:2465	ENSMUSG00000036620:2570	ENSMODG00000003778:1668	ENSOANG00000013588:810	ENSGALG00000005924:2327
ENSG00000112701:7628	ENSPTRG00000018357:6668	ENSGGOG00000006460:3841	ENSPPYG00000016784:3315	ENSMMUG00000004491:3966	ENSMUSG00000034252:4938	ENSMODG00000018495:3249	ENSOANG00000000941:3502	ENSGALG00000015901:4306
ENSG00000186666:1478	ENSPTRG00000004916:1428	ENSGGOG00000002996:645	ENSPPYG00000004498:2895	ENSMMUG00000022911:1354	ENSMUSG00000037525:1266	ENSMODG00000004282:822	ENSOANG00000007743:807	ENSGALG00000024387:804
ENSG00000100532:1980	ENSPTRG00000006363:1583	ENSGGOG00000000676:1584	ENSPPYG00000005831:993	ENSMMUG00000004594:1276	ENSMUSG00000055128:1315	ENSMODG00000011646:996	ENSOANG00000021333:654	ENSGALG00000012206:1023
ENSG00000172339:1033	ENSPTRG00000000980:701	ENSGGOG00000004834:1059	ENSPPYG00000001136:651	ENSMMUG00000023641:1011	ENSMUSG00000039887:961	ENSMODG00000004291:624	ENSOANG00000012719:267	ENSGALG00000005583:1027
ENSG00000033867:8328	ENSPTRG00000014704:7874	ENSGGOG00000011232:7278	ENSPPYG00000014056:7272	ENSMMUG00000019327:3750	ENSMUSG00000021733:7582	ENSMODG00000015030:4301	ENSOANG00000002769:3460	ENSGALG00000011405:3655
ENSG00000101463:2522	ENSPTRG00000013333:2437	ENSGGOG00000000617:2437	ENSPPYG00000010778:618	ENSMMUG00000015852:2422	ENSMUSG00000074736:2463	ENSMODG00000006293:498	ENSOANG00000010870:480	ENSGALG00000008662:1106
ENSG00000057657:5764	ENSPTRG00000018457:5156	ENSGGOG00000001929:5167	ENSPPYG00000016879:2370	ENSMMUG00000021401:5321	ENSMUSG00000038151:5281	ENSMODG00000018029:2484	ENSOANG00000004176:2586	ENSGALG00000015388:2439
ENSG00000168743:4721	ENSPTRG00000016343:1518	ENSGGOG00000013715:4681	ENSPPYG00000014979:4560	ENSMMUG00000023428:1704	ENSMUSG00000040998:4800	ENSMODG00000020620:1890	ENSOANG00000002771:1829	ENSGALG00000010566:1836
ENSG00000213949:8020	ENSPTRG00000016859:4795	ENSGGOG00000022320:3414	ENSPPYG00000015450:3540	ENSMMUG00000001753:7550	ENSMUSG00000042284:4020	ENSMODG00000019448:3381	ENSOANG00000021947:690	ENSGALG00000014891:3901
ENSG00000141429:4064	ENSPTRG00000009972:3765	ENSGGOG00000006840:3848	ENSPPYG00000009109:1680	ENSMMUG00000000457:1697	ENSMUSG00000000420:2694	ENSMODG00000000501:1966	ENSOANG00000001744:1758	ENSGALG00000013135:3482
ENSG00000180190:3588	ENSPTRG00000019935:1524	ENSGGOG00000027280:489	ENSPPYG00000018303:2986	ENSMMUG00000011108:2931	ENSMUSG00000050052:4450	ENSMODG00000014238:444	ENSOANG00000004691:558	ENSGALG00000016356:935
ENSG00000197712:4050	ENSPTRG00000023549:2098	ENSGGOG00000012372:2159	ENSPPYG00000014670:1692	ENSMMUG00000004471:2114	ENSMUSG00000029185:2964	ENSMODG00000020533:1707	ENSOANG00000010319:1537	ENSGALG00000013583:2227
ENSG00000123243:8238	ENSPTRG00000002273:4705	ENSGGOG00000001171:5895	ENSPPYG00000002073:6339	ENSMMUG00000015850:4445	ENSMUSG00000025780:7900	ENSMODG00000016687:2966	ENSOANG00000015447:2828	ENSGALG00000006891:3054
ENSG00000168710:4340	ENSPTRG00000001067:3807	ENSGGOG00000011791:3881	ENSPPYG00000001058:1593	ENSMMUG00000022715:3538	ENSMUSG00000027893:4042	ENSMODG00000001821:1689	ENSOANG00000005884:1595	ENSGALG00000000329:3308
ENSG00000164675:3502	ENSPTRG00000019636:2476	ENSGGOG00000015921:2947	ENSPPYG00000017955:1416	ENSMMUG00000011536:2557	ENSMUSG00000046192:3651	ENSMODG00000015389:1467	ENSOANG00000004826:2007	ENSGALG00000008823:2256
ENSG00000128805:3268	ENSPTRG00000002479:2135	ENSGGOG00000001347:2824	ENSPPYG00000002247:1933	ENSMMUG00000004063:3367	ENSMUSG00000063506:2826	ENSMODG00000002216:2117	ENSOANG00000013846:1571	ENSGALG00000006137:2956
ENSG00000132361:5228	ENSPTRG00000008552:4359	ENSGGOG00000013465:5158	ENSPPYG00000007797:5166	ENSMMUG00000020527:3936	ENSMUSG00000020741:5379	ENSMODG00000010807:3767	ENSOANG00000015077:1866	ENSGALG00000005854:3932
ENSG00000171503:2349	ENSPTRG00000016553:2345	ENSGGOG00000025606:2387	ENSPPYG00000015158:3387	ENSMMUG00000004644:2003	ENSMUSG00000027809:2414	ENSMODG00000002009:1869	ENSOANG00000014978:1916	ENSGALG00000009442:4491
ENSG00000144460:4832	ENSPTRG00000012988:2037	ENSGGOG00000002537:1962	ENSPPYG00000013233:3483	ENSMMUG00000013743:477	ENSMUSG00000054976:12508	ENSMODG00000021206:2085	ENSOANG00000011214:2031	ENSGALG00000004966:2031
ENSG00000134317:3659	ENSPTRG00000011643:3645	ENSGGOG00000002692:3636	ENSPPYG00000012661:3586	ENSMMUG00000001535:2281	ENSMUSG00000020656:3467	ENSMODG00000014753:2065	ENSOANG00000007788:1951	ENSGALG00000016439:2410
ENSG00000155903:3176	ENSPTRG00000015472:3051	ENSGGOG00000023738:1710	ENSPPYG00000014165:2424	ENSMMUG00000009418:2716	ENSMUSG00000032413:5813	ENSMODG00000021230:2487	ENSOANG00000002775:1371	ENSGALG00000002850:4858
ENSG00000008282:2371	ENSPTRG00000019570:2155	ENSGGOG00000006497:705	ENSPPYG00000018292:2216	ENSMMUG00000019593:2131	ENSMUSG00000020570:4293	ENSMODG00000017394:639	ENSOANG00000015170:1921	ENSGALG00000008106:1393
ENSG00000181192:5189	ENSPTRG00000002292:3023	ENSGGOG00000010847:3160	ENSPPYG00000002833:1769	ENSMMUG00000017136:780	ENSMUSG00000025815:5011	ENSMODG00000016802:2772	ENSOANG00000015423:2742	ENSGALG00000003674:3232
ENSG00000071243:5181	ENSPTRG00000019625:2206	ENSGGOG00000004349:1383	ENSPPYG00000017945:2194	ENSMMUG00000002434:1832	ENSMUSG00000029670:3800	ENSMODG00000015490:1346	ENSOANG00000005653:1279	ENSGALG00000009023:1931
ENSG00000102024:3524	ENSPTRG00000022205:1857	ENSGGOG00000008810:3387	ENSPPYG00000020649:3078	ENSMMUG00000006377:3136	ENSMUSG00000016382:3676	ENSMODG00000004940:1908	ENSOANG00000007227:1932	ENSGALG00000005930:3141
ENSG00000137672:4612	ENSPTRG00000004207:4110	ENSGGOG00000009198:4121	ENSPPYG00000003802:4023	ENSMMUG00000011835:1971	ENSMUSG00000031997:3259	ENSMODG00000000537:2752	ENSOANG00000010492:2664	ENSGALG00000017194:2577
ENSG00000168389:2193	ENSPTRG00000000581:2171	ENSGGOG00000015275:2198	ENSPPYG00000001497:1978	ENSMMUG00000011264:2159	ENSMUSG00000028655:2151	ENSMODG00000017646:1775	ENSOANG00000002711:612	ENSGALG00000003879:1821
ENSG00000176915:4513	ENSPTRG00000005658:2157	ENSGGOG00000010050:4201	ENSPPYG00000005147:4394	ENSMMUG00000015467:3814	ENSMUSG00000029501:5218	ENSMODG00000015199:2854	ENSOANG00000010622:3074	ENSGALG00000002143:2937
ENSG00000119899:3467	ENSPTRG00000018348:3284	ENSGGOG00000002667:1233	ENSPPYG00000016778:1350	ENSMMUG00000008133:3557	ENSMUSG00000049624:3356	ENSMODG00000018522:1488	ENSOANG00000012352:1035	ENSGALG00000015916:3105
ENSG00000168438:4483	ENSPTRG00000018495:2017	ENSGGOG00000002453:3855	ENSPPYG00000016919:1751	ENSMMUG00000008182:1962	ENSMUSG00000038446:3327	ENSMODG00000017939:1740	ENSOANG00000000939:1665	ENSGALG00000015061:2068
ENSG00000126883:7738	ENSPTRG00000021482:6544	ENSGGOG00000017169:6210	ENSPPYG00000019699:7357	ENSMMUG00000021724:6606	ENSMUSG00000001855:8212	ENSMODG00000012396:6361	ENSOANG00000014776:5437	ENSGALG00000003830:6380
ENSG00000164975:6384	ENSPTRG00000020785:2449	ENSGGOG00000006757:2524	ENSPPYG00000019207:1239	ENSMMUG00000016189:1239	ENSMUSG00000028483:1518	ENSMODG00000014956:1200	ENSOANG00000010116:1389	ENSGALG00000011323:1065
ENSG00000146950:7992	ENSPTRG00000021652:4206	ENSGGOG00000012923:4851	ENSPPYG00000020116:4851	ENSMMUG00000006193:4706	ENSMUSG00000045180:7498	ENSMODG00000017449:4652	ENSOANG00000009689:4959	ENSGALG00000016614:4272
ENSG00000198898:2997	ENSPTRG00000019615:2197	ENSGGOG00000012158:2358	ENSPPYG00000017933:2182	ENSMMUG00000006784:1790	ENSMUSG00000015733:2557	ENSMODG00000015812:1006	ENSOANG00000000893:930	ENSGALG00000009385:2886
ENSG00000131620:4899	ENSPTRG00000004003:3138	ENSGGOG00000013637:4208	ENSPPYG00000002956:4625	ENSMMUG00000019734:4249	ENSMUSG00000031075:4829	ENSMODG00000019768:2939	ENSOANG00000007411:2586	ENSGALG00000007617:3147
ENSG00000164070:3979	ENSPTRG00000016433:3271	ENSGGOG00000013848:2849	ENSPPYG00000015056:2415	ENSMMUG00000015245:2520	ENSMUSG00000025757:3704	ENSMODG00000012257:2766	ENSOANG00000004367:696	ENSGALG00000010185:3191
ENSG00000030304:4212	ENSPTRG00000021248:2894	ENSGGOG00000015657:1584	ENSPPYG00000019494:2628	ENSMMUG00000007065:2765	ENSMUSG00000057280:3464	ENSMODG00000003983:2642	ENSOANG00000006972:2829	ENSGALG00000015728:2851
ENSG00000114541:6959	ENSPTRG00000015098:5188	ENSGGOG00000002181:5237	ENSPPYG00000013726:4526	ENSMMUG00000000387:4989	ENSMUSG00000030064:5800	ENSMODG00000003688:2940	ENSOANG00000000486:2861	ENSGALG00000014627:3025
ENSG00000102984:2187	ENSPTRG00000008328:1825	ENSGGOG00000005863:1860	ENSPPYG00000007523:1545	ENSMMUG00000016716:2341	ENSMUSG00000031728:1740	ENSMODG00000002425:1224	ENSOANG00000008189:1285	ENSGALG00000000817:1623
ENSG00000106927:1434	ENSPTRG00000021284:1384	ENSGGOG00000014191:1431	ENSPPYG00000019528:953	ENSMMUG00000008559:1026	ENSMUSG00000028356:1409	ENSMODG00000004020:1059	ENSOANG00000003126:375	ENSGALG00000008973:1169
ENSG00000101577:6664	ENSPTRG00000009833:6225	ENSGGOG00000000330:5400	ENSPPYG00000009036:2691	ENSMMUG00000017548:5800	ENSMUSG00000024052:6271	ENSMODG00000021466:2951	ENSOANG00000008912:3597	ENSGALG00000014836:3181
ENSG00000169372:1184	ENSPTRG00000005300:1168	ENSGGOG00000025856:1168	ENSPPYG00000004835:1169	ENSMMUG00000012670:1443	ENSMUSG00000045867:1470	ENSMODG00000009439:600	ENSOANG00000006624:600	ENSGALG00000011297:2918
ENSG00000169218:3160	ENSPTRG00000000550:2906	ENSGGOG00000007712:2999	ENSPPYG00000001528:2659	ENSMMUG00000008420:789	ENSMUSG00000028871:1834	ENSMODG00000023326:648	ENSOANG00000002054:776	ENSGALG00000001946:1579
ENSG00000166183:2086	ENSPTRG00000006766:1404	ENSGGOG00000003238:2048	ENSPPYG00000006181:2156	ENSMMUG00000014295:2098	ENSMUSG00000037686:2732	ENSMODG00000013615:1712	ENSOANG00000000798:1617	ENSGALG00000011572:1753
ENSG00000172172:1110	ENSPTRG00000020541:1110	ENSGGOG00000024629:474	ENSPPYG00000018847:312	ENSMMUG00000002599:1087	ENSMUSG00000022370:786	ENSMODG00000002300:519	ENSOANG00000000414:903	ENSGALG00000016405:566
ENSG00000093167:4785	ENSPTRG00000014745:2416	ENSGGOG00000001784:3751	ENSPPYG00000014020:3117	ENSMMUG00000022539:1755	ENSMUSG00000032497:3814	ENSMODG00000013326:2202	ENSOANG00000015304:2244	ENSGALG00000012266:2241
ENSG00000166068:7284	ENSPTRG00000006903:3835	ENSGGOG00000022992:6717	ENSPPYG00000006334:1293	ENSMMUG00000010704:1190	ENSMUSG00000027351:6784	ENSMODG00000001166:1715	ENSOANG00000010061:1417	ENSGALG00000009750:1461
ENSG00000198087:5412	ENSPTRG00000018244:2094	ENSGGOG00000009343:5381	ENSPPYG00000016677:4517	ENSMMUG00000017952:2008	ENSMUSG00000061665:5403	ENSMODG00000018870:2010	ENSOANG00000008279:1512	ENSGALG00000016720:3674
ENSG00000133687:9126	ENSPTRG00000004800:3962	ENSGGOG00000009789:3660	ENSPPYG00000004392:3187	ENSMMUG00000015817:3868	ENSMUSG00000030306:8383	ENSMODG00000014377:2873	ENSOANG00000010584:624	ENSGALG00000012956:3110
ENSG00000177614:3576	ENSPTRG00000002094:3233	ENSGGOG00000005004:1467	ENSPPYG00000000122:1032	ENSMMUG00000002287:1149	ENSMUSG00000050751:3409	ENSMODG00000009166:1002	ENSOANG00000013735:1242	ENSGALG00000011111:1490
ENSG00000151079:5977	ENSPTRG00000029830:1761	ENSGGOG00000025596:1233	ENSPPYG00000004173:1590	ENSMMUG00000020816:1764	ENSMUSG00000038077:3464	ENSMODG00000018007:1629	ENSOANG00000014376:1326	ENSGALG00000017281:1542
ENSG00000134313:9495	ENSPTRG00000011633:7011	ENSGGOG00000009822:7231	ENSPPYG00000012670:6999	ENSMMUG00000021036:7876	ENSMUSG00000036333:7462	ENSMODG00000014660:5341	ENSOANG00000007570:5316	ENSGALG00000016409:5399
ENSG00000137819:5612	ENSPTRG00000007226:4929	ENSGGOG00000003967:4976	ENSPPYG00000006599:3845	ENSMMUG00000014886:945	ENSMUSG00000032278:3697	ENSMODG00000009253:993	ENSOANG00000013535:1167	ENSGALG00000008077:744
ENSG00000066185:1775	ENSPTRG00000000608:1687	ENSGGOG00000004654:1098	ENSPPYG00000001470:1098	ENSMMUG00000001034:1773	ENSMUSG00000070806:1464	ENSMODG00000017311:1104	ENSOANG00000009725:1064	ENSGALG00000004884:1089
ENSG00000016402:4111	ENSPTRG00000018640:3679	ENSGGOG00000000380:3681	ENSPPYG00000017037:1662	ENSMMUG00000013566:1905	ENSMUSG00000020007:2088	ENSMODG00000017429:1575	ENSOANG00000005257:1554	ENSGALG00000013869:1564
ENSG00000184613:4130	ENSPTRG00000004848:3448	ENSGGOG00000007812:2376	ENSPPYG00000004430:2253	ENSMMUG00000017279:3510	ENSMUSG00000022454:2843	ENSMODG00000018531:2463	ENSOANG00000022678:681	ENSGALG00000009601:3074
ENSG00000135046:2522	ENSPTRG00000021024:1496	ENSGGOG00000004678:1477	ENSPPYG00000019293:1041	ENSMMUG00000012667:2388	ENSMUSG00000024659:1400	ENSMODG00000002183:1041	ENSOANG00000013140:1110	ENSGALG00000015148:1492
ENSG00000164050:7457	ENSPTRG00000014884:5844	ENSGGOG00000006231:7309	ENSPPYG00000013906:5871	ENSMMUG00000003074:7081	ENSMUSG00000053646:8952	ENSMODG00000014384:6887	ENSOANG00000004295:6340	ENSGALG00000006526:2002
ENSG00000168685:4607	ENSPTRG00000016790:1804	ENSGGOG00000014862:1747	ENSPPYG00000015396:1380	ENSMMUG00000001676:1456	ENSMUSG00000003882:3192	ENSMODG00000020367:1429	ENSOANG00000004142:1448	ENSGALG00000013372:1491
ENSG00000135372:4040	ENSPTRG00000003494:3024	ENSGGOG00000014560:4045	ENSPPYG00000003367:2211	ENSMMUG00000021646:4008	ENSMUSG00000027185:4063	ENSMODG00000009890:3084	ENSOANG00000007400:3027	ENSGALG00000014573:3380
ENSG00000171119:1103	ENSPTRG00000010344:1104	ENSGGOG00000006255:1103	ENSPPYG00000009436:955	ENSMMUG00000001684:1103	ENSMUSG00000039481:1023	ENSMODG00000016217:808	ENSOANG00000004218:645	ENSGALG00000021647:800
ENSG00000114480:3535	ENSPTRG00000015119:3447	ENSGGOG00000026805:3477	ENSPPYG00000025891:1071	ENSMMUG00000015877:3484	ENSMUSG00000022707:2860	ENSMODG00000016876:2079	ENSOANG00000013801:2269	ENSGALG00000015506:2247
ENSG00000001631:5140	ENSPTRG00000019393:4522	ENSGGOG00000001906:4527	ENSPPYG00000017822:2156	ENSMMUG00000014907:2211	ENSMUSG00000000600:2923	ENSMODG00000010670:2215	ENSOANG00000021458:454	ENSGALG00000009384:3989
ENSG00000143995:4114	ENSPTRG00000011994:3186	ENSGGOG00000005446:3169	ENSPPYG00000012356:2795	ENSMMUG00000011216:3039	ENSMUSG00000020160:3455	ENSMODG00000003396:2885	ENSOANG00000012441:1470	ENSGALG00000008774:958
